r r r r b b
1 822 8.533334 20.9 1 1
-1 811 8.4875 21.700001 1 1
5 824 8.004167 22.6 1 0
31 830 7.795833 22.200001 1 0
0 810 8.545834 20.700001 1 1
139 685 10.3125 26.700001 1 1
382 913 9.65 26 1 1
624 940 8.208333 26.5 1 1
703 1011 7.675 26.700001 1 1
367 732 8.391666 25.299999 1 1
164 682 9.9375 26.4 1 1
103 659 10.283334 26.299999 1 1
291 779 9.629167 26.5 1 1
337 707 8.591666 26.4 0 0
424 760 8.508333 26.5 1 1
325 648 8.395833 27.5 1 0
269 628 8.945833 27.1 1 1
260 735 8.691667 24.700001 0 1
374 720 8.054167 25.5 0 0
310 719 7.8375 25 1 1
429 725 7.358333 25.9 1 1
124 734 8.741667 24.1 1 1
222 777 8.479167 24.1 1 1
142 711 8.466666 24.5 0 1
206 735 8.183333 24.6 1 1
33 723 8.604167 24.4 0 1
46 696 8.845834 24.4 0 1
87 702 8.325 25.5 1 1
43 653 8.8 24.9 1 1
1 793 8.379167 23.700001 1 1
29 754 8.3875 24.299999 1 1
35 763 8.158334 24 1 1
9 701 8.6125 25.4 1 1
36 839 8.025 21.9 1 1
5 841 8.3875 22.799999 1 1
-2 724 8.341666 21.1 1 1
20 754 8.079166 22.200001 1 1
78 798 7.3375 23.5 1 1
40 795 7.625 22.4 1 1
2 599 8 23.200001 1 1
37 646 7.9375 22 1 1
467 768 8.483334 26.200001 1 1
580 915 8.275 26.5 1 1
562 777 7.770833 26.4 1 1
581 907 7.808333 26.9 1 1
319 706 9.45 26.4 1 1
322 688 9.345834 26.200001 1 1
421 714 8.420834 26.4 1 1
484 727 8.120833 26.200001 1 1
333 625 8.041667 27.1 1 1
305 644 8.316667 27.1 1 1
586 759 6.804167 25.5 1 1
457 695 7.808333 26.200001 1 1
282 601 7.958333 25.299999 1 1
602 760 6.5375 25.700001 1 1
207 549 8.445833 25.5 1 1
285 613 8.070833 25.4 1 1
123 598 8.720834 24.799999 1 1
365 724 7.529167 24.700001 1 1
74 502 8.945833 25.4 1 1
184 530 8.541667 25.299999 1 1
83 633 8.4125 25.4 1 1
74 596 8.708333 25.200001 1 1
27 559 8.825 25.1 1 1
61 545 8.795834 25.200001 1 1
20 652 8.466666 24.4 1 1
29 629 8.595834 25.4 1 1
37 614 8.358334 23.799999 1 1
37 592 8.558333 24.5 1 1
-3 601 8.283334 21.5 1 1
21 645 8.208333 22.799999 1 1
7 598 8.183333 24.1 1 1
1 605 8.2625 23.5 1 1
19 573 8.229167 20.6 1 1
1 581 8.3125 20.700001 1 1
16 602 8.258333 23.299999 1 1
21 584 8.2625 22.700001 1 1
442 779 8.454166 26.9 1 1
596 934 7.954167 26.4 1 0
440 799 8.133333 27.299999 0 0
578 951 7.945833 27.299999 1 1
376 683 8.404166 26.799999 1 1
513 771 7.845833 26.799999 1 1
475 710 7.920833 27 1 1
481 760 7.870833 27.200001 0 0
433 828 8.154166 28.200001 0 0
556 941 7.8375 28.5 0 0
28 1893 7.695833 17.200001 0 1
17 1675 7.679167 17 0 0
13 1988 7.683333 17.200001 0 1
289 2258 5.975 14.9 0 0
308 1745 5.554167 19.9 0 1
124 1593 6.766667 19.6 0 1
106 1753 6.708333 18.700001 0 1
237 1687 6.025 18.4 0 1
766 1854 2.679167 20.700001 0 1
1254 2052 -0.441667 21.799999 0 1
891 1927 1.670833 21.799999 0 1
1012 1930 1.158333 20.799999 0 1
720 1915 2.6375 22.1 0 1
459 2360 4.929167 15.7 0 0
852 1950 2.3125 18.9 0 1
58 1594 6.8625 14.9 0 0
247 1672 5.808333 15.9 0 1
11 877 8.033334 21.299999 1 0
0 840 7.529167 24.299999 1 0
6 817 7.8625 22.1 1 1
49 834 7.525 22.700001 1 1
24 882 7.691667 21.5 1 0
316 1415 5.483333 20.799999 0 1
110 1354 6.8875 20 0 1
86 1120 6.879167 22.1 0 1
842 1252 1.691667 23.299999 0 0
563 1296 3.629167 22.4 0 1
567 938 3.208333 24.9 0 1
305 989 5.125 23.799999 0 1
1245 1347 -1.3 25.1 0 0
939 1263 0.720833 24.5 0 1
1110 911 -0.808333 27.299999 0 1
956 927 0.433333 26.299999 0 0
989 1169 0.558333 24.4 0 1
1431 1399 -2.170833 24.299999 0 1
999 769 -0.354167 28.5 0 1
884 787 0.25 28.9 0 1
1437 1331 -1.579167 21.4 0 1
1035 1124 0.4875 23 0 0
1232 907 -1.2125 25.299999 0 1
1700 1059 -3.858333 25.299999 0 0
295 1231 4.875 18.299999 0 1
872 1191 1.616667 20.200001 0 1
315 1166 4.058333 22.4 0 1
1057 948 -0.145833 24.299999 0 1
98 1292 5.358333 20 0 1
26 727 7.504167 25.299999 1 1
68 748 7.341667 24.5 1 1
15 622 7.595833 24.6 1 1
32 612 7.658333 24.4 1 1
7 737 7.6125 23.5 1 0
18 745 7.533333 23.9 1 0
17 644 7.65 22 1 0
11 624 7.6375 23.4 1 0
158 781 5.816667 25.6 0 1
91 806 6.545833 24.200001 0 1
70 738 6.845833 24.200001 0 1
20 734 7.2625 23.5 0 1
811 801 0.8 29.700001 0 0
567 806 2.75 28 0 1
353 748 3.758333 29.700001 0 1
158 751 5.645833 27.299999 0 1
916 720 -0.254167 30.9 0 1
877 769 0.145833 30.6 0 1
354 617 2.9 31.299999 0 1
408 704 3.0125 30.700001 0 1
1315 878 -2.0875 27.1 0 1
1036 744 -0.854167 29.5 0 1
1013 680 -0.979167 29.700001 0 0
1089 702 -1.345833 30 0 1
779 1024 1.083333 24.4 0 1
1398 975 -2.408333 25.9 0 1
818 675 0.129167 28.6 0 1
41 1077 5.283333 20.5 0 1
291 1124 3.904167 21.799999 0 1
275 1016 3.8375 22.9 0 1
126 878 4.641667 23.700001 0 1
9 578 7.8125 25.299999 1 1
14 570 7.845833 24.4 1 0
-1 601 8.191667 25.200001 1 0
21 742 7.566667 24.9 0 1
14 770 7.6625 25.4 0 1
22 722 7.279167 23.200001 0 1
106 774 6.5375 24.799999 0 1
56 773 7.05 24.5 0 1
87 791 6.420833 25.299999 0 1
21 751 7.195833 23.700001 0 1
140 783 5.7625 26.6 0 1
144 786 6.116667 25.4 0 1
207 780 4.383333 29.700001 0 1
170 808 5.3125 27.700001 0 1
340 593 2.9375 30.700001 0 1
377 709 3.104167 30.1 0 1
925 600 -0.8125 30.6 0 0
795 602 0.075 30.799999 0 1
887 602 -0.825 30.4 0 1
216 994 3.795833 25.200001 0 1
693 819 0.733333 27.299999 0 1
264 1275 3.795833 23.6 0 1
135 573 17.683332 21 0 0
765 495 13.741667 23 0 0
277 426 16.237499 20.5 0 1
36 482 17.6875 22.299999 0 1
103 633 17.629168 23.4 0 1
336 876 15.929167 21.700001 0 0
733 850 13.758333 22.1 1 1
558 911 14.095834 21.200001 1 0
253 906 16.258333 21.5 1 0
678 860 12.941667 21.9 1 1
846 918 12.741667 22.299999 1 1
47 835 17.641666 22.4 0 0
406 805 15.3125 22.299999 1 1
947 917 11.970834 22 1 1
97 639 17.570833 24 1 0
76 679 17.441668 24.4 0 0
729 788 12.7625 22.799999 1 1
347 793 14.283334 26.5 1 1
3 727 15.670834 24.299999 0 1
281 825 13.275 26.9 0 0
207 793 14.458333 27.700001 1 1
411 778 12.1125 26.9 1 0
668 867 11.1875 25.700001 0 0
-2 709 13.508333 27.1 1 0
0 644 13.316667 27.700001 1 0
42 1002 12.8625 29.6 1 1
0 837 13.2375 27.700001 1 0
5 880 15.654166 23.9 0 0
498 896 13.195833 25.200001 1 0
672 854 12.179167 28.1 1 1
363 916 13.875 27.799999 1 1
1433 841 7.6125 24.6 1 1
881 922 10.858334 26.5 1 1
917 906 10.566667 25.4 1 0
1108 837 9.566667 25.4 1 1
358 795 13.683333 26.1 0 0
963 853 10.270833 26.1 1 1
4 726 13.604167 28 1 0
418 922 12.791667 26.299999 1 0
93 765 14.066667 25.200001 1 0
-1 750 13.495833 26.6 0 0
37 967 14.225 24 1 0
1 1159 13.3 28 1 1
0 933 13.241667 27.200001 1 0
0 1144 13.429167 26.700001 1 1
9 1047 14.0375 24.299999 1 0
1554 1106 3.55 28 1 1
687 1185 9.079166 29.799999 1 1
1178 1268 5.254167 28.6 1 1
797 1309 8.195833 28.299999 1 1
1164 1232 4.904167 28.6 1 0
2430 1408 -1.554167 23.1 0 1
1153 1462 4.670833 28.5 1 1
2082 1412 0.083333 24.700001 1 1
184 890 14.575 25.9 1 0
47 869 15.654166 24.700001 1 0
379 726 13.966666 24.9 0 0
615 733 12.9375 23.6 1 1
463 801 12.7375 26.1 1 1
1096 792 9.816667 24.9 1 1
454 682 13.4375 24.4 1 0
47 760 14.716666 26.1 1 0
141 1058 13.883333 24.299999 0 0
181 1253 12.9875 26.299999 1 1
21 1033 14.066667 26.5 1 0
671 1307 9.591666 26.200001 1 1
616 1271 10.579166 24.799999 1 1
623 1343 9.020833 27.799999 1 1
770 1373 8.6875 26.4 1 1
828 1208 6.329167 30.5 1 1
1003 1294 6.370833 28 1 1
734 1086 6.4625 30.799999 1 1
782 1227 6.966667 29.299999 1 1
1287 1440 3.5625 27.799999 1 1
1677 1454 1.754167 26.299999 1 1
1081 1174 4.429167 28.6 1 1
1000 1146 4.8625 29.5 1 1
420 757 14.325 22.700001 1 0
990 728 10.4625 23.299999 1 0
625 564 12.641666 25 1 0
669 609 12.4625 24.299999 1 0
106 494 15.595834 26.200001 1 0
471 551 13.55 25.1 1 0
104 586 15.5125 24.700001 1 0
605 570 12.6125 23.1 1 0
50 970 13.8875 27.9 0 0
272 1007 12.591666 28 1 0
112 846 14.958333 26.4 0 0
615 1331 9.058333 27.299999 0 1
639 1221 9.491667 26.799999 1 1
362 1134 10.091666 28.700001 0 1
907 1209 7.645833 26.9 0 0
430 1217 9.716666 29 1 1
280 1235 11.033334 28.5 1 1
128 956 11.025 30.299999 1 1
167 1025 10.808333 30 0 0
431 976 8.1875 31.5 1 1
362 1098 9.333333 30.5 1 1
261 886 9.4 30.9 1 1
332 984 9.429167 30.299999 1 1
1182 1114 3.875 27.9 1 1
818 1008 5.816667 29.9 1 1
1089 992 4.5125 27.9 1 1
442 819 8.104167 30.4 1 1
194 599 15.370833 24.299999 1 0
15 489 16.266666 24.9 1 0
484 602 13.1875 24.700001 1 0
274 862 14.808333 24.200001 1 0
177 1018 15.125 25.299999 1 0
1124 1143 6.9125 26 0 0
463 975 12.725 26.1 1 0
1198 1089 6.266667 26.700001 0 1
906 1120 8.95 26.299999 0 0
1119 1158 6.329167 26.799999 0 0
686 993 8.845834 29.299999 0 0
123 887 10.5375 30.799999 0 0
97 922 10.854167 30.9 0 0
176 837 10.775 30.1 1 1
383 927 9.583333 29.799999 0 0
217 752 9.783334 30.6 1 1
195 850 10.075 30.6 1 1
148 661 10.45 30.799999 1 1
150 742 10.670834 30.6 1 1
261 640 9.320833 30.200001 1 1
209 669 9.6875 30.5 1 1
116 568 10.183333 31.1 1 1
145 602 10.2875 30.799999 1 1
67 556 16.429167 24.6 0 0
119 1341 15.158334 27.299999 1 0
1429 1101 5.216667 25.799999 0 0
771 1172 9.883333 27.700001 0 0
160 876 10.875 30.799999 0 0
918 976 7.483333 28.799999 0 0
110 745 11.079166 30.700001 1 1
296 830 9.9 30.1 0 1
201 600 10.491667 30.9 1 1
202 667 10.720834 31 1 1
142 533 10.279166 31.200001 1 1
270 586 9.908334 30.700001 1 1
11 573 8.320833 22.799999 1 1
4 566 8.333333 23.299999 1 1
15 545 8.1875 23 1 0
4 550 8.225 23.299999 1 1
22 606 8.341666 23.6 1 1
14 578 8.3875 22.700001 1 1
15 643 7.966667 23.1 0 1
19 599 8.0375 22.6 0 1
431 873 7.916667 28.5 0 0
503 1023 7.9625 28.9 0 0
392 955 8.3375 29.799999 0 0
573 1228 7.695833 29.4 1 1
549 718 6.9625 27.6 1 1
341 744 8.308333 28.6 1 1
456 721 7.408333 28.200001 1 1
684 977 6.4875 28.4 1 1
582 673 6.670833 26.299999 1 1
646 687 6.241667 26.700001 1 1
499 655 6.6625 26.299999 1 1
506 662 6.779167 27.1 1 1
130 527 8.895833 26 1 1
306 591 7.975 26 1 1
143 583 8.891666 26.4 1 1
506 691 6.633333 25.5 1 1
148 558 8.658334 25.799999 1 1
89 512 9.133333 26 1 1
59 558 9.266666 26.9 1 1
87 568 9.229167 26.6 1 1
38 554 8.7125 25.299999 1 1
34 541 9 25.799999 1 1
73 576 8.325 25.6 1 1
37 569 9.05 26.799999 1 1
38 574 8.216666 24 1 1
86 583 8.104167 24.799999 1 1
13 555 8.195833 24.200001 1 1
69 570 8.020833 24.9 1 1
16 550 8.325 23.9 1 0
127 675 7.2875 22.799999 0 1
42 620 7.841667 22.6 0 1
16 569 7.958333 22 0 1
78 561 7.6375 21.1 0 1
621 1017 7.075 29.1 1 1
391 1077 8.441667 30.299999 1 1
800 969 5.991667 28.200001 1 1
372 886 8.3875 30.299999 1 1
490 710 7.425 28.4 1 1
846 1020 5.6875 27.9 1 1
492 668 7.633333 28.200001 1 1
489 767 7.729167 28.9 1 1
379 568 7.054167 27.200001 1 1
392 584 7.554167 27.9 1 1
190 492 8.9125 28.1 1 1
376 548 8.241667 27.9 1 1
202 625 8.570833 26.200001 1 1
522 675 6.091667 25.5 1 1
160 589 8.658334 26.9 1 1
384 585 7.333333 26.6 1 1
53 548 9.25 27.299999 1 1
95 575 9.129167 26.9 1 1
98 559 8.875 28.6 1 1
78 566 9.083333 27.799999 1 1
59 560 8.608334 26.9 1 1
87 562 8.766666 27.299999 1 1
64 551 8.5375 27.700001 1 1
17 529 9.083333 29.299999 1 1
5 547 8.733334 25.700001 1 1
35 554 8.625 26.299999 1 1
14 549 8.704166 26.5 1 1
27 542 8.558333 26.799999 1 1
7 612 9.133333 27.9 1 1
-1 661 8.316667 26 1 1
551 761 7.3375 28.6 1 1
413 774 8.1 29.700001 1 1
267 624 9.125 29.4 1 1
464 724 8.104167 29.1 1 1
613 693 6.766667 27.6 1 1
505 705 7.558333 28.4 1 1
546 646 7.025 27.799999 1 1
300 600 8.7375 29.200001 1 1
245 568 8.270833 28.700001 1 1
261 565 8.445833 28.700001 1 1
293 599 7.804167 28.799999 1 1
350 594 7.7625 28.4 1 1
207 612 8.041667 28.4 1 1
770 754 5.041667 26.1 1 1
141 568 8.358334 30.700001 1 1
522 699 6.1625 28.5 1 1
65 550 9.129167 28.4 1 1
122 573 8.791667 28 1 1
64 542 8.75 29.4 1 1
84 546 8.675 29.799999 1 1
74 573 8.4625 29.200001 1 1
47 548 9.020833 29.5 1 1
86 583 8.041667 29.299999 1 1
79 556 8.433333 29.299999 1 1
39 600 8.379167 28.1 1 1
98 596 8.004167 28.6 1 1
65 654 7.925 27.200001 1 1
146 628 7.5375 28.9 1 1
5 650 8.258333 27.6 1 1
46 661 8.2875 28.6 1 1
51 653 7.241667 26.4 1 1
114 683 7.0625 28 1 1
209 631 9.4 29.799999 1 1
170 633 9.825 30.200001 1 1
295 700 8.725 29.9 1 1
120 606 9.9125 30.9 1 1
554 639 6.908333 28 1 1
216 571 9.133333 29.700001 1 1
211 611 8.725 29.299999 1 1
250 659 8.808333 29.799999 1 1
624 682 6.025 26.700001 1 1
500 631 6.9 27.5 1 1
357 655 7.5 27.799999 1 1
622 727 6.204167 27.200001 1 1
127 552 8.354167 29.4 1 1
265 586 7.729167 28.299999 1 1
187 564 8.095834 28.5 1 1
152 581 8.441667 28.299999 1 1
76 527 8.404166 29.5 1 1
98 539 8.408334 29.799999 1 1
87 516 8.366667 29.5 1 1
123 533 8.354167 29.200001 1 1
80 570 7.670833 29.700001 1 1
83 534 8.1375 28.9 1 1
100 550 7.758333 29.700001 1 1
112 537 7.9375 29.6 1 1
175 668 7.158333 29.4 1 1
122 607 7.3375 30 1 1
147 644 7 29.4 1 1
125 592 7.3125 30 1 1
197 633 9.358334 30.799999 1 1
110 567 10.0875 31.299999 1 1
23 780 7.616667 25.299999 0 1
24 625 7.845833 24.799999 1 1
18 783 7.65 24.9 0 1
38 692 7.75 24 0 1
153 925 6.441667 25.799999 0 1
144 921 6.75 25.4 0 1
73 699 6.391667 26.6 0 1
181 872 6.091667 26.1 0 1
97 694 5.758333 27.6 0 1
45 666 6.2375 27.200001 0 1
253 696 4.15 29.4 0 1
233 718 4.625 28.6 0 1
407 647 2.729167 30.200001 0 1
449 708 2.820833 29.799999 0 1
569 622 1.445833 30.5 0 1
878 688 -0.129167 30.4 0 1
968 790 -0.7625 29.1 0 1
742 671 0.420833 30.1 0 1
470 995 2.304167 26.6 0 1
664 826 1.025 28.299999 0 1
149 780 6.770833 24.6 0 1
95 695 7.316667 23.4 0 1
164 657 6.720833 25 0 1
82 617 7.320833 23.799999 0 1
240 749 5.5875 26.799999 0 1
153 787 6.4375 25.799999 0 1
327 670 5.170833 27.1 0 1
217 671 6.125 26.299999 0 1
233 652 5.241667 27.700001 0 1
272 708 5.229167 27.200001 0 1
90 600 6.116667 28.1 0 1
259 635 5.358333 27.5 0 1
46 632 5.908333 28.700001 0 1
46 616 6.079167 28.299999 0 1
148 662 5.45 29.299999 0 1
144 643 5.629167 28.799999 0 1
277 695 4.058333 29.9 0 1
183 679 4.866667 29.200001 0 1
336 730 3.8125 30.700001 0 1
211 701 4.829167 30 0 1
437 682 2.729167 30.6 0 1
430 716 3.025 30.200001 0 1
200 645 4.104167 31.299999 0 1
323 707 3.683333 31.1 0 1
665 678 1.166667 30.700001 0 1
596 680 1.641667 30.700001 0 1
410 626 2.533333 31.5 0 1
536 681 2 31.4 0 1
765 711 0.5625 29.700001 0 1
528 645 1.8875 30.299999 0 1
335 554 2.833333 31 0 1
399 600 2.529167 31.299999 0 1
549 856 1.870833 27.799999 0 1
475 728 2.220833 28.700001 0 1
404 644 2.458333 29.4 0 1
339 568 2.783333 30.4 0 1
146 594 6.883333 24.799999 0 1
48 569 7.554167 24 0 1
7 509 7.683333 24.700001 0 1
5 533 7.8125 24.299999 0 1
219 604 6.008333 26.6 0 1
239 617 6.133333 25.9 0 1
82 539 6.891667 25.9 0 1
55 519 7.270833 25.200001 0 1
79 564 6.370833 27.9 0 1
195 591 5.975 27.200001 0 1
64 561 6.6 27.200001 0 1
92 549 6.691667 26.4 0 1
33 625 6.2 29.4 0 1
112 614 5.95 28.700001 0 1
47 595 6.1625 28.799999 0 1
58 583 6.341667 28.1 0 1
227 684 4.445833 31.299999 0 1
155 679 5.195833 30.299999 0 1
119 624 4.929167 30.6 0 1
64 601 5.666667 29.700001 0 1
322 659 3.325 32.099998 0 1
204 652 4.329167 31.9 0 1
281 664 3.354167 31.799999 0 1
128 627 4.6 31.200001 0 1
338 624 2.7 32.299999 0 1
271 632 3.3125 32.099998 0 1
170 641 3.333333 32.599998 0 1
196 648 3.429167 32.299999 0 1
339 590 2.3875 32.299999 0 1
302 604 2.75 32.299999 0 1
349 630 1.8 33.400002 0 1
199 633 2.841667 33.099998 0 1
296 576 2.333333 31.9 0 1
335 581 2.295833 32 0 1
254 567 1.904167 33.700001 0 1
310 591 1.829167 33.400002 0 1
0 479 7.6625 24.6 0 1
0 0 0 0 0 1
6 452 7.508333 24.700001 0 1
2 464 7.583333 24.5 0 1
9 506 7.458333 23.4 0 0
0 501 7.558333 23.299999 0 0
3 518 7.204167 25.9 0 1
5 518 7.204167 26 0 1
37 549 6.429167 27.700001 0 1
40 558 6.633333 27.200001 0 1
42 526 6.883333 27 0 1
12 479 7.141667 26.200001 0 1
60 593 5.133333 29.6 0 1
41 564 5.770833 28.700001 0 1
1 624 4.691667 31 0 1
17 600 5.091667 30 0 1
12 659 3.920833 32.200001 0 1
22 648 4.179167 31.700001 0 1
288 668 1.820833 33.5 0 1
37 665 3.304167 33.200001 0 1
345 612 1.05 35.200001 0 1
201 623 2.141667 34 0 1
366 1590 3.358333 23.6 0 0
247 1235 3.783333 24.799999 0 1
428 2029 3.3 21.6 0 0
130 2150 4.945833 20.5 0 0
463 1249 2.595833 25 0 1
630 1046 1.541667 26.6 0 1
819 908 0.191667 27.4 0 1
691 783 0.845833 28.5 0 1
365 1734 3.354167 22.6 0 1
844 1134 0.15 25.200001 0 1
876 997 -0.091667 26.6 0 1
402 2044 3.233333 21.299999 0 1
429 1315 2.575 22.5 0 1
761 1272 0.6875 23.799999 0 1
162 1154 3.7875 20.1 0 0
220 1269 3.258333 18.9 0 0
563 655 0.7625 30.4 0 1
364 601 1.883333 31.299999 0 1
428 577 0.616667 33.400002 0 1
361 568 1.125 33.799999 0 1
687 743 0.125 28.6 0 1
656 692 0.245833 29.799999 0 1
591 653 -0.2625 32.099998 0 1
507 598 0.15 33 0 1
1031 990 -1.654167 26.5 0 1
833 861 -0.620833 27.4 0 1
632 763 -0.441667 30.200001 0 1
823 761 -1.4 30.700001 0 1
243 1102 2.733333 23 0 1
923 1093 -1.016667 25.1 0 1
746 945 -0.758333 26.700001 0 1
813 873 -1.258333 28.700001 0 1
10 1258 4.058333 20.6 0 0
305 1217 2.4375 21.700001 0 1
230 1002 2.3125 23 0 1
812 1008 -1.008333 25.6 0 1
152 1314 3.279167 18.799999 0 0
212 1343 2.983333 19.5 0 0
177 1037 2.575 20.4 0 0
218 1001 2.366667 21.799999 0 0
489 587 -0.433333 37.099998 0 1
368 584 0.5625 36.200001 0 1
387 572 0.0125 35.700001 0 1
339 560 0.216667 37.200001 0 1
576 640 -0.770833 33.099998 0 1
487 608 -0.3875 34.200001 0 1
1154 734 -3.783333 30.5 0 1
540 604 -0.666667 32.299999 0 1
1019 759 -2.779167 26.9 0 1
1117 741 -3.475 29.1 0 1
589 762 -0.291667 24.4 0 1
112 649 16.641666 22.299999 1 0
97 1152 16.450001 25.200001 1 0
371 999 15.925 25.799999 1 0
75 1206 16.229166 26.799999 1 0
717 1106 12.05 28.9 1 0
55 1006 16.7125 28.1 1 0
256 1372 14.679167 27.1 1 0
1253 1057 8.7625 28.4 1 0
12 823 18.104166 24.799999 1 0
639 853 13.770833 27 1 0
249 806 16.104166 25 1 0
89 920 17.058332 27.4 1 0
965 895 11.804167 28.9 1 0
730 865 13.204166 27.6 1 0
1402 957 8.291667 29.299999 1 0
722 979 12.75 29.5 1 0
210 655 15.3 33.700001 1 0
1032 847 11.095834 30.299999 1 0
1181 875 9.125 30.200001 1 0
807 645 11.395833 32.299999 1 0
470 745 15.258333 23.4 1 0
107 576 17.866667 20.799999 1 0
997 842 11.741667 28.200001 1 0
733 803 13.316667 26.700001 1 0
591 675 14.395833 27.9 1 0
869 798 12.575 29.299999 1 0
740 794 13.2625 28.299999 1 0
244 605 16.487499 28.6 1 0
103 486 15.7 33.099998 1 0
525 685 14.408334 31.1 1 0
319 518 15.041667 30.200001 1 0
122 535 16.737499 29.200001 1 0
756 570 11.8375 31.9 1 0
446 706 16.508333 20.700001 1 0
520 741 16.137501 21.200001 1 0
262 532 16.391666 26.799999 1 0
278 479 16.775 27.1 1 0
62 469 16.133333 28.1 1 0
24 635 16.5875 23.5 1 0
883 1239 9.733334 26.4 0 0
318 1306 14.2 25 1 0
600 987 9.9125 30 1 1
1305 1119 6.345833 26 0 0
242 836 10.4125 30.700001 0 0
506 918 9.7375 30.299999 0 1
89 680 11.175 30.799999 1 1
135 742 10.720834 30.700001 0 0
286 1077 14.7125 24.4 1 0
92 1107 15.304167 24.700001 1 0
17 1011 16.029167 24.5 1 0
546 1412 12.325 26.5 1 0
96 1704 14.791667 29.5 1 0
29 1412 15.204166 26.799999 1 0
1341 1211 6.479167 26.299999 1 1
908 1337 9.741667 26.700001 0 0
1343 1168 6.225 27 1 1
877 1308 9.383333 28.5 1 1
977 969 7.616667 28.6 0 0
791 1085 9.195833 29.299999 1 0
609 909 9.433333 29.4 1 1
728 1031 9.154166 29.700001 0 0
87 785 11.454166 31 0 0
381 899 10.429167 30.299999 0 0
78 698 11.458333 30.700001 0 1
327 823 10.633333 29.799999 0 0
98 656 11.05 30.9 1 1
83 708 11.225 31.799999 0 0
102 609 11.041667 31.200001 1 0
79 639 11.2125 31.5 0 0
143 561 10.954166 30.799999 1 1
95 591 11.233334 31 1 1
103 539 10.966666 30.799999 1 1
132 569 10.825 30.799999 1 1
209 577 10.441667 30.6 1 1
121 546 11.083333 30.700001 1 1
208 556 10.191667 30.799999 1 1
118 531 10.854167 30.799999 1 1
706 1181 11.825 26.9 1 0
1493 973 7.066667 28.1 1 1
853 1110 10.5125 26.700001 1 0
367 1045 13.641666 27.1 1 0
899 885 10.029166 28.799999 0 1
952 875 9.904166 28.799999 1 1
671 1204 10.5375 29 1 1
954 1182 9.404166 27.4 0 0
539 854 11.1 30.700001 0 1
1519 1007 5.920833 27.6 0 1
1255 1055 6.545833 27.4 0 0
1555 1125 5.154167 26.5 1 1
771 861 8.920834 29.4 0 1
687 865 9.725 29.9 0 0
658 850 9.0625 28.9 1 1
860 941 8.325 28.5 0 0
363 751 10.258333 30.1 0 0
741 836 8.5875 29.200001 0 0
76 658 11.7125 30.5 0 0
145 739 11.591666 30.200001 0 0
86 644 12.008333 30.200001 0 0
177 699 11.35 30.200001 0 0
76 564 11.170834 31.299999 0 0
74 603 11.420834 31.6 0 0
75 574 11.254167 31.299999 0 0
74 599 11.5625 30.700001 0 0
80 527 10.8375 31.700001 1 1
77 518 10.854167 31.700001 1 1
82 537 10.804167 32.200001 1 0
89 551 10.8875 31.799999 1 1
93 521 10.566667 32.099998 1 1
84 518 10.741667 31.799999 1 1
86 535 10.479167 32.700001 1 1
82 533 10.641666 32.299999 1 1
727 726 11.116667 31.4 1 0
940 591 10.066667 31.799999 1 0
845 687 9.833333 30.799999 1 0
1545 825 6.283333 28.9 1 0
801 548 10.0125 31.6 1 0
843 565 10.079166 31.6 1 0
710 687 9.883333 30.9 1 0
1059 741 8.304167 30 1 1
626 537 10.35 31.299999 0 1
321 487 12.254167 32.900002 0 0
611 723 9.679167 30.299999 0 0
774 725 9.129167 30.1 0 0
276 588 11.529166 31.4 0 0
869 613 8.583333 29.700001 1 0
176 681 10.895833 30.799999 1 0
216 689 11.129167 31.200001 1 1
738 754 8.145833 28.299999 1 1
683 693 8.795834 29.299999 1 1
106 645 11.3625 30.200001 1 0
145 670 11.070833 30.700001 0 0
488 719 9.229167 29.299999 1 1
89 598 11.179167 32.099998 0 0
91 617 11.316667 30.700001 0 0
82 564 10.858334 32.299999 1 0
101 580 10.908334 32.200001 1 1
132 597 10.716666 32.200001 0 0
258 637 10.204166 31.5 1 0
86 560 10.379167 32.400002 1 1
85 556 10.579166 32.299999 1 1
140 606 10.104167 32 1 1
106 592 10.566667 32.299999 1 0
269 468 14.158334 32.5 1 0
155 454 15.329166 30.799999 1 0
334 467 12.829166 32.099998 1 0
411 479 12.816667 31.9 1 0
442 496 12.6875 30.799999 1 1
500 491 12.795834 30.6 1 0
1212 586 7.091667 28.799999 1 1
1142 560 7.991667 29.6 1 0
647 533 10.3125 30.6 1 1
945 551 9.170834 29.799999 1 1
617 603 9.420834 30.4 1 1
968 592 7.929167 29.299999 1 1
1188 695 6.229167 28.4 1 1
849 579 8.716666 29.799999 1 1
163 611 10.9125 31 1 1
636 665 8.9 29.6 1 1
78 582 11.4875 32.400002 1 1
167 613 11.358334 32 1 1
633 753 8.504167 29.299999 1 1
76 604 11.225 31.299999 1 1
204 610 10.633333 32.200001 1 1
249 620 10.508333 32 0 0
867 813 7.379167 28.6 0 1
1206 927 5.741667 27 0 0
590 688 8.716666 30.299999 1 1
860 766 7.520833 29.1 0 0
922 797 6.7375 28.6 0 0
728 697 7.5625 29.4 1 0
1005 780 6.7 28.1 1 1
120 614 10.220834 31.9 1 0
224 692 9.470834 31.6 0 0
315 632 9.254167 31.299999 0 0
316 504 14.233334 28.799999 1 0
999 594 9.308333 28.9 1 1
38 482 15.2625 29.9 1 0
1367 674 5.8625 28.1 1 1
1182 619 7.579167 28.799999 1 1
